category_powersupplies,name_powersupplies,specifications_powersupplies,warranty_powersupplies,price_powersupplies
800W.-1050W.,POWER SUPPLY (CYBENETICS PLATINUM) 850W MONTECH CENTURY II,850W / 80+GOLD / FULL Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 4xPCIe (6+2 Pin),10Y,2750
800W.-1050W.,POWER SUPPLY (80+ PLATINUM) 850W SEGOTEP PM 850W,850W / 80+ PLATINUM / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),5Y,4990
800W.-1050W.,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5),850W / 80+Platinum / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 6xPCIe (6+2 Pin),10Y,5290
800W.-1050W.,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5 ICE),850W / 80+Platinum / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 6xPCIe (6+2 Pin),10Y,5290
800W.-1050W.,POWER SUPPLY (CYBENETICS GOLD) 1000W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-1000-BK),1000W / Cybenetics Gold / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 4xPCIe (6+2 Pin),10Y,3550
800W.-1050W.,POWER SUPPLY (80+ GOLD) 1000W COOLER MASTER ELITE GOLD 1000 (MPW-A001-AFAG-BEU),1000W / 80 PLUS GOLD / Full Modular / Length 140mm / 2xCPU / 1xPCIe (16 Pin) / 6xPCIe (6+2 Pin),5Y,3590
800W.-1050W.,POWER SUPPLY (80+ GOLD) 1000W NZXT CORE (PA-0G3BB-US),1000W / 80+Gold / FULL Modular / Length 150mm / 2xCPU(4+4/8 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),7Y,4490
800W.-1050W.,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W,1000W / 80+GOLD / Full Modular / Length 160mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 6xPCIe (6+2 Pin),5Y,4890
800W.-1050W.,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT (PS-TPT-1000FNFAGE-3),1000W / 80+Gold / Full Modular / Length 140mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 5xPCIe (6+2 Pin),5Y,4990
800W.-1050W.,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),1000W / 80+Gold / Full Modular / Length 140mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 5xPCIe (6+2 Pin),5Y,5190
